exp,algo,rmse,ess,max_rate,max_tilt_deg
1,1,0.00148325771883973,0.00101400220606417,0,0
1,2,0.00207942593995915,7.45429688709661e-07,0,0
2,1,0.00387113613009254,0.00129368709726248,0,0
2,2,0.00452323576139635,0.000172492124141638,0,0
3,1,0.0111360958346553,0.00316532706151915,0.0580759875910228,2.10440131070735
3,2,0.00661688161964807,0.000201878180448738,0.0700504542026354,2.02237313892848
4,1,0.0111360958346553,0.00316532706151915,0.0580759875910228,2.10440131070735
4,2,0.00661688161964807,0.000201878180448738,0.0700504542026354,2.02237313892848
5,1,0.0201800868555934,0.0112758901297183,0.149106479578838,3.57643369751632
5,2,0.0115797771198205,0.00581281462698375,0.173046679188074,3.3687161927762
